ID,cate:Alcohol,cate:NoiseLevel,bool:WiFi,bool:Parking,num:stars,num:review_count
YIez_A3WOt9J2SXN7OMa2Q,none,average,FALSE,TRUE,4,105
_T8qy9XAKAFLJdmoLg1Q-g,none,average,FALSE,FALSE,4,121
CN5nuUQod0f8g3oh99qq0w,full_bar,very_loud,FALSE,FALSE,4,403
scVd-lmZCNZHK5W75-4sKQ,none,average,FALSE,FALSE,4.5,122
vMqUZEaqALd6Q9b4lO-62g,none,average,FALSE,FALSE,4,103
QTSCFDPcuROE8UCvGS8Fiw,full_bar,average,FALSE,FALSE,3,159
_u1Bq7QsgMUXSMex8QHqLQ,none,average,FALSE,FALSE,4,375
QaxDKkqYTtVYZJcqBNTnvQ,none,quiet,TRUE,FALSE,4,191
qlPyuJ77Znjh30I2kTs1xQ,full_bar,quiet,FALSE,TRUE,3.5,199
fJ-2acaqvWOsujUTAJB-ew,beer_and_wine,average,TRUE,FALSE,3.5,316
8FqfLM0Kv3Grr9l8bOAlCA,none,average,FALSE,FALSE,4.5,104
DqORaQfDFHCFIiG4g3d1-g,beer_and_wine,average,FALSE,FALSE,2.5,122
arpBUwgiaE8iqfNGMQ_hgg,none,average,FALSE,FALSE,3.5,134
TR0-w6VoZDAdvFQiq7P2Ug,none,average,FALSE,TRUE,4,335
Nxg73OigmRQQq0d1pKtkUQ,beer_and_wine,average,FALSE,FALSE,3,155
He_4k_w_8bjWnoepahS2zw,none,loud,TRUE,TRUE,3,206
aXnWWp6Reaep4-0iKWlYHQ,beer_and_wine,average,TRUE,FALSE,3.5,114
ttuEwktrkmh3TUlSFPZqAA,none,average,FALSE,FALSE,4,422
cWPTOM_o5toaXpq0gNxD7Q,none,average,TRUE,TRUE,4,134
a9aW5e731lplWGHUZ02-zQ,none,average,FALSE,TRUE,4,167
oAq3-dXyDT3k4Mluc1ftTA,full_bar,average,FALSE,FALSE,3.5,151
mES9E5K4HbYoPFXGv0pUuw,beer_and_wine,average,TRUE,FALSE,4,191
ErnZ6XLbX3aG9jz3OcyzLg,none,average,TRUE,FALSE,3.5,116
nJBwEYaulNXHPAUP0OBRtg,none,average,TRUE,FALSE,4,149
ar3FKybOl9yazviTBu-NRg,beer_and_wine,average,FALSE,FALSE,2.5,106
tuTAKHUm7ErDRZ2Yll8LzQ,none,average,FALSE,FALSE,4.5,117
-zuJkmIjdRahT_yHED-62g,beer_and_wine,loud,TRUE,TRUE,3.5,136
i_V36U612XnJ5SJAE1OPWw,none,average,FALSE,FALSE,4.5,131
Vg4N2DsGrzzoam9jS1L3Wg,none,average,FALSE,TRUE,3.5,201
4_EgrMY-EI-i-xyWixI2qg,none,average,FALSE,FALSE,4.5,232
yKFx0bW9_buGt9NASTpUaw,none,average,FALSE,FALSE,3.5,149
9pWzjhdrPgsZEmF7-QOaIQ,none,average,FALSE,FALSE,4,162
MMGnDeqMUNQsLC5V6BINjQ,beer_and_wine,average,FALSE,FALSE,4,168
lDpVyjENOz_qbxbRoyBi8w,none,average,FALSE,FALSE,4.5,295
ZCrK07xb6w5Vi1vathV0NQ,beer_and_wine,average,TRUE,FALSE,3,114
grZEbAsZwWA3yJMwDRl0Nw,beer_and_wine,average,FALSE,FALSE,4,118
HKfW6AZ-lW7jwLJwNlcLLQ,beer_and_wine,quiet,FALSE,FALSE,4.5,127
nHFJtud7jWZhM9dHQ1eIRA,beer_and_wine,average,FALSE,FALSE,4,395
6xowh_GdOsRrz9QWN6nMxA,none,average,TRUE,FALSE,3.5,158
HUYEadSbGSQNHXFmT2Ujjw,beer_and_wine,average,FALSE,FALSE,4,381
RvYjKtzdIPA2VBUpJJbzCw,beer_and_wine,average,FALSE,FALSE,4,100
v_UM-AW9YYTCbWUNa-w1Gg,beer_and_wine,average,TRUE,FALSE,4,124
TpwCjlKsdYjLsvlYhKGt4g,none,average,TRUE,TRUE,4.5,125
49fcUkW5tOHlqBakrWTMzQ,none,average,FALSE,FALSE,3.5,156
NECnXyZ8SCjQICOBhG7wTg,none,average,FALSE,FALSE,4,106
RtUvSWO_UZ8V3Wpj0n077w,full_bar,very_loud,FALSE,FALSE,4,1306
EzC51yOetmrju2DPP72iRA,beer_and_wine,average,FALSE,TRUE,3.5,197
iAxsnFs3qq0Qx1EJ1S9SoQ,full_bar,average,FALSE,FALSE,4,116
EK38MXW_OsC5CZVvIZodIw,none,average,FALSE,FALSE,3.5,201
8XCpgcsKOe6sng7qdCMIgg,beer_and_wine,average,FALSE,FALSE,3.5,148
yg_A_TpYkJjr1fef0J6QkQ,none,loud,TRUE,FALSE,3.5,285
ZUZZEQ61ZD826C65SZLAQQ,full_bar,average,TRUE,FALSE,4.5,111
k1lSQ4VIqEn36UL1zkb3dw,none,quiet,FALSE,FALSE,4,117
bejxx0XrZ6Ogv-o-3InELA,none,average,TRUE,FALSE,3,140
xVHzCbDWCwmyavF5PgJRmg,beer_and_wine,average,FALSE,FALSE,3.5,134
qcqDjeirxvdgW5kQVkEwSA,full_bar,loud,FALSE,FALSE,3,119
g6GXqg-QdDiQGLYMVqNOUw,full_bar,loud,FALSE,FALSE,3.5,153
FkJTuuqeJL4jHi2FojX_fg,full_bar,quiet,FALSE,FALSE,3.5,126
wK1SMAzIpHh-KYbrs7m0nA,none,average,FALSE,FALSE,4.5,118
Lfl9kppQhikig4xI3UdjOA,none,average,FALSE,FALSE,3.5,148
5r6-G9C4YLbC7Ziz57l3rQ,none,average,FALSE,FALSE,3.5,259
xdfGzrJ1mx3mBx6m14Ebhw,beer_and_wine,average,FALSE,FALSE,3,107
SjgeuBlgKER9yegpoxT99w,full_bar,loud,TRUE,FALSE,4,481
478TIlfHXfT3wvww54QsPg,full_bar,average,TRUE,TRUE,3.5,192
v_XG6rpmOIqxMYyTfNKjaQ,beer_and_wine,average,FALSE,TRUE,3.5,134
GxzEsd-81hVP6C2h6wMvBw,none,average,FALSE,FALSE,3.5,114
f5O7v_X_jCg2itqacRfxhg,beer_and_wine,average,FALSE,FALSE,4,762
