4292	5		great staff
820	6		Great coffee
1705	16		Great location
1248	16		lots of tube
1065	6		very nice Breakfast
3917	10		uncomfortably hot evenings
2709	8		most comfortable bed
3492	3		quiet place
969	6		excellent restuarant
754	6		very friendly breakfast
3587	11		Newly refurbished rooms
4504	5		helpful Staff
3632	11		bit small room
3505	11		Comfortable room
2525	8		small Bed
1613	16		perfect location
517	14		great gym
2485	8		not even double size Bed
3930	13		almost at sidewalk level windows
4809	5		helpful staff
3905	1		Good television
1161	15		relaxing volumes
4427	5		always helpful Everything staff
2077	12		amazing easy transport
3443	3		quiet street
4308	5		attentive staff
1292	16		very close to shopping
2395	0		very close to vanity
2218	0		lovely shower
4266	5		very accommodating staff
3178	2		really fresh room
2493	8		Wonderful bed
793	6		clean breakfast
1949	16		great area of town
3590	11		very tiny ground
2889	2		very clean room
4590	5		a little straight faced welcome
3244	9		small mosaic tiles
4531	5		very rude restaurant manager
952	6		getting breakfast
3757	11		quite small Room
3184	2		Very nice room
1585	16		great across location
3101	2		damp Room
4649	5		great staff
2915	2		Very clean room
768	6		perfect Breakfast
4339	5		respective staffs
1853	16		10 minutes Uber ride
4925	7		cheap alternative to city centre
1898	16		great locality
4670	5		extremely helpful pillows staff
2522	8		most comfy pillows
1619	16		Easy walking from the
523	14		no bar
1520	16		like location
4695	5		very polite staff
2140	12		outstanding attention to detail
599	14		ok spa
1202	16		nearby shops
1163	15		great stay
1454	16		3 minute walk tube stations
522	14		extremely clean choice in minibar
261	4		Comfy place
2931	2		wasn t great room
391	4		lovely hotel
2755	8		comfortable stay
2372	0		small Bathroom
1193	16		just around restaurants
478	14		Noisy bar
3269	9		high standard finish
3247	9		a bit creaky Windows
140	4		likable hotel
3580	11		tiny room
4072	5		helpful staff
1900	16		2 minutes from tube station
3541	11		small Rooms
4484	5		gracious polite staff
553	14		stable water
538	14		big gym user
3731	11		Spacious room
124	4		soo lovely hotel lobby
2407	0		open laundry cupboard
2353	0		good bathroom
1650	16		good Location
596	14		easy access to
576	14		No drop off space
1535	16		Well located convenience stores
4834	5		very helpful staff
753	6		compote Fruit
567	14		Free bottled water
3520	11		good standard room
1602	16		very limited babe stations
3429	3		more atmosphere
33	7		very reasonable London
1971	12		good help entrance
4411	5		young style
3637	11		small door
176	15		really good experience
1115	15		average hotel
1331	16		decent location
4130	5		friendly staff
743	6		superb Breakfast lunch dinner
4990	7		expensive space
4867	7		Very expensive not great value for
4083	5		aloof Staff
911	6		happy breakfast
335	4		not being particularly picturesque area
2309	0		Nice bathroom
940	6		safe with restaurants
3892	11		so small room
4765	5		very pleasant staff
2918	2		Too warm bedroom
383	4		very hip scene
2663	8		Old fashioned carpet
1695	16		close to shops
3967	13		hard roof
4334	5		wonderful staff
4119	5		Excellent staff
4458	5		friendly staff
874	6		No hot drinks facilities
980	6		lovely Dinner
1921	16		excellent Location
548	14		No free parking
1129	15		convenient hotel
2972	2		very hot Room
210	4		stunning park
1790	16		always friendly location
1708	16		excellent location
4545	5		friendly staff
1626	16		1 min walk bayswater
3677	11		a little cramped space
166	4		not common ice
3709	11		a little small Room
1177	15		Great hotel
345	4		really nice experience
339	2		Very bad smell
2868	2		nice room
4753	5		excellent Bell staff
370	4		not luxurious style
4121	5		perfect Everything staff
606	14		ideally located gym
1547	16		very close to city centre
2438	0		Dirty bath
1495	16		great central location
4404	5		Clean Modern looking staff
827	6		excellent Food
1690	16		unique boutique feel
2223	0		poorly functioning bath
4182	5		lovely staff
3670	11		big room
1814	16		Easy journey into city centre
15	4		doable welcoming
4623	5		young Stuff
2013	12		very important internet
4253	5		nice staff
4102	5		weren t very helpful evening staff
4118	5		great staff
448	15		good business
1071	6		Decent breakfast
1788	16		ideal near to location
1383	16		free transfer from the airport
562	14		brilliant facilities
2558	8		comfy bed
11	4		Very cool design
2633	8		very hard Bed
2662	8		comfortable bed
4962	7		not worth Price
572	14		amazing Facilities
1973	12		No early check in
4309	5		friendly welcome
4480	5		friendly staff
4489	5		well mannered staff
3219	9		not enough plugs
4063	5		very knowledgeable Staff
3522	11		very small space
687	6		great breakfast coffee
1553	16		Great location
1749	16		very convenient location
245	4		No designated
2913	2		well presented Rooms
463	14		didn t work properly Wifi
3102	2		so comfy room
4322	5		excellent staff
2171	12		Excellent service
4929	7		not so expensive parking
2255	0		nice clean bathroom
4571	5		really helpful staff
4888	7		good price of
4213	5		helpful Staff
1984	12		open access wi fi
2706	8		Very comfortable bed
2202	0		Good shower
3148	2		shining clean attractive everything
512	14		Superior facilities
4433	5		Very friendly staff
3644	11		lots of packing space
3293	9		very steep steps to
3099	2		very clean telly
4371	5		lots help
564	14		great sky bar
1758	16		very easy reach
4696	5		very friendly Staff
1362	16		Brilliant location
1260	16		Very close to tram station
3710	11		No Space
4846	5		pleasant staff
674	6		excellent breakfast offer
3254	9		extra security
3370	3		busy street
2596	8		clean beds
4812	5		nice helpful staff tree lined
1592	16		Lack of tourist literature
1710	16		not too far metro
3159	2		funky Room
1330	16		Perfect for solo travellers
2781	8		very comfy bed
629	6		not good breakfast
4797	5		very kind bartender
1948	16		close to tube
2063	12		endless list
609	14		No bar
3433	3		Quietness DLR
773	6		complimentary snacks
3601	11		modern room
230	4		Great looking hotel
162	4		superb London
4904	7		expensive Parking nearby
4262	5		helpful staff
476	14		comfortable bar
1200	16		Close to bus
1637	16		a bit far from centre
2966	2		clean room
2246	0		excellent shower
1121	15		great hotel
134	6		pretty good restaurant
1308	16		did not work lifts
2363	0		chipped bath
2181	12		free times
4234	5		unwelcoming General
3408	3		Very noisy trains
4410	5		good staff
4049	17		safe location
183	6		very good Restaurant
2410	0		not functional bathroom
904	6		free food
3736	11		spacious room
4661	5		amazing staff
2951	2		excellent room
2768	8		comfortable nescafe
520	14		not open to swimming pool
644	6		outstanding Breakfast
3095	2		Very nice room
1766	16		outstanding Location
2210	0		amazing shower
3463	3		huge external noise
3741	11		too small too heavy door
420	4		modern hotel
1235	16		good location
501	14		free gym
4921	7		Good value for money
4995	7		Lots of extra cost
3285	9		cosy layout
392	6		great restaurant
1032	6		great food
1612	16		a bit deceptive location description
3687	11		Tiny lift
4200	5		polite Staff
3231	9		Too hot heating
4951	7		limited selection
2368	0		stunning shower room
4800	5		helpful staff
1989	12		extremely slow Check in process
185	4		great Covent garden
734	6		delicious veggie
2704	8		a little tired settees
1532	16		quick taxi ride
1838	16		5 min walk Court tube
1944	16		great location
4276	5		very convenient room service
1718	16		Phenomenal hip property
2990	2		very very very hot rooms
3425	3		quiet room
4815	5		helpful staff
498	14		Good parking
1665	16		Walking distance shops pubs
1805	16		Good location
832	6		good place to eat
858	6		awful sausages
4801	5		helpful Staff
1889	16		Great location to the
2043	12		nice touch
3338	9		Easy Lobby
1105	15		Not a good experience
13	15		perfect holiday
2577	8		wasn t bad bed
385	4		extremely tired hotel
3424	3		quiet Park
1360	16		really great location staff
451	12		worked everything
4547	5		Excellent staff
620	14		did not work gym
930	6		very good Breakfast
1679	16		very comfortable Location suite
2604	8		comfortable Bed
1126	15		very pleased hotel
2452	0		pretty good bathrooms
3502	11		cramped rooms
3496	3		Noisy air conditioning
4022	13		Poor outlook
483	14		good facilities
1046	6		limited coffee
1366	16		Very convenient location
1781	16		repd building
1911	16		Great location
3974	13		nice view victoria station
974	6		amazing Breakfast
2085	12		slow Wifi
1780	16		Perfect location
357	2		spotless hotel
4127	5		brilliant staff
1249	16		close to tube station
1075	6		nice food
3482	3		claustrophobic feeling
1371	16		brilliant Location
259	2		good clean damp
1204	16		very friendly train station
4716	5		Great kids
3629	11		small room
3125	2		fine room
1142	15		good overall
18	12		no port
1544	16		a bit fare out location
802	6		huge choice of breakfast
3936	13		non breathable windows
3189	9		very welcome room
760	6		nice Breakfast
131	4		Really lovely place
1724	16		Good location
3910	1		great Entertainment system
1221	16		very close to Location
545	14		good bar area
989	6		big tea
1411	16		perfect location
1339	16		good location
3449	3		airy Room
880	6		Excellent breakfast
1399	16		Great location for
915	6		excellent breakfast
2261	0		Really cold bathroom
4551	5		Great staff
1852	16		great location
623	14		small swimming pool
4081	5		healthy Bodybuilders
1962	12		very slow wifi
1384	16		Good location for road
4174	5		friendly staff
3441	3		2ndary sound proofing
3610	11		comfortable room
4631	5		very friendly staff
4447	5		woeful attitude
1918	16		close to RAI station
4399	5		absolutely wonderful so staff
3448	3		very noisy room
4806	5		friendly Staff
3735	11		enough room
342	4		very tied hotel
1961	12		Great service
4131	5		brilliant help
4018	13		very disappointing evening
680	6		very small food
2273	0		larger bathroom
2334	0		lovely shower
676	6		so helpful breakfast
1633	16		perfect location
1809	16		Excellent location
3369	3		good air conditioning
460	14		intimate bar
338	15		best hotel
3724	11		comfortable room
3368	3		too noisy room
4094	5		extremely helpful staff
2180	12		too early Checkout time
1394	16		lots of tube stations
1094	6		10 min drive breakfast
2569	8		Tiny bed
137	4		Beautiful lobby
106	15		incredible Quirky hotel
3063	2		not ready room
1736	16		helpful Location
2145	12		good repair things
410	15		nice hotel
1748	16		frequent tram stops
889	6		great food
875	6		no biscuts
1596	16		only 5 min walk location
2123	12		great service
1098	15		Amazing place
25	15		Good hotel
2827	8		a little narrow Duvets
177	4		comfortable hotel
2032	12		minimal security keycard
2882	2		tidy room
2106	12		fantastic upgrade
160	15		most comfortable hotel
3421	3		Noisy heating system
2019	12		not allowing enough fresh ATM
2219	0		nice hot shower
3818	11		great room
2104	12		bad key insert
2524	8		extremely cold bed sheet
1782	16		great location
2415	0		somewhat narrow Shower space
1714	16		great location to
4020	13		excellent views
1060	6		No sugar
4864	7		declined Breakfast price
1527	16		excellent Market
4205	5		Great staff
1492	16		Great location
3711	11		functional room
3834	11		Not much room
1654	16		excellent location
3893	11		really tiny room
1827	16		slightly far from station
4228	5		very polite Staff
1480	16		Absolutely stunning location
3583	11		small walks
3479	3		very loudly floor
4031	17		easy to use area
4437	5		inept Reception
1191	16		excellent mini supermarket
807	6		wasn t great food
435	4		competent hotel
3557	11		Poor tiny room
419	4		very comfortable feel
4096	5		Helpful staff
1537	16		Close to Hyde park
239	15		great Everything
2862	2		cleaned Room
2119	12		free wifi
453	4		Clean comfortable location
1936	16		closer office
4689	5		very accommodative staff
4626	5		very friendly staff
1262	16		Great location
2448	0		ok bathroom
4668	5		Efficient staff
4363	5		high standard of customer service
4258	5		very accommodating staff
3821	11		Small room
1773	16		Great location
826	6		proper Bottled water
3039	2		very nice room
4647	5		excellent staff
2861	2		good room
658	6		absolutely dire food
2365	0		great fridge
1303	16		poor Location
3984	13		View Facilities
1859	16		quiet location
1570	16		not so bad location
959	6		Lacking in milk
1821	16		close to tram
3274	9		didn t really warm up radiator
1352	16		comfortable location
829	6		complimentary tea
4199	5		so helpful Staff
794	6		not so nice breakfast room
4495	5		able to staff
3573	11		no enough space
2897	2		limescale room furniture
1756	16		Fabulous location
1192	16		best location
115	4		beautiful interior design
2562	8		Comfortable beds
3457	3		Broken coffee machine
2987	2		amazing room
3627	11		ultra modern air con
493	14		not so cold mini bar
3461	3		noisy beside train line
3310	9		just Earls
1712	16		close to LDR
59	2		not clean dirty marks
3991	13		great Roof top
2888	2		Friendly room
1386	16		2 minutes away Park station
1779	16		Walking distance museum quarter
1166	15		great comfort
1681	16		just in front very close train station
4290	5		ok staff
4796	5		Very personable staff
2718	8		terrible beds
4162	5		not well trained staff
3270	9		dangerous cramped facilities
314	4		perfectly done Everything
3911	1		didn t work TV
4462	5		extremely clean staff
2356	0		extra toiletries
47	17		secure hotel
211	4		filthy Hotel
3358	3		Very quiet sleep
921	6		no breakfast
3096	2		very tired room lobby
2612	8		fully equipped seats
1295	16		Right in city center
1763	16		Large grocery store
27	2		Very clean hotel
3192	9		a bit old Elevator
3359	3		disorganised Room
2725	8		comfy Beds
1446	16		Very clean location
4478	5		ease of front desk service
2516	8		Uncomfortably soft pillows
238	15		wonderful everything
3805	11		too small room
4526	5		very clean staff
1336	16		not far from Euston train station
3920	10		cold choices
3714	11		Large room overlooking the marina
3869	11		adorably modern rooms
1726	16		close to underground
4840	5		helpful staff
4637	5		very noisy cleaning staff
3162	2		friendly Room
3567	11		Not the largest rooms
3289	9		full on heating
1467	16		unbeatable central location
3439	3		Noisy with road noise
1986	12		quick check in
3470	3		audible piped music
987	6		fresh fruit yogurts
4374	5		very friendly Staff
3048	2		lovely room
4256	5		very friendly staff
194	12		efficient systems
3877	11		so big room
2355	0		Really good shower
630	6		too liquid food menu Deserts
1067	6		no coffee
2831	8		pretty comfortable bed
3858	11		No space
1405	16		walking distance Covent
1693	16		comfortable location
3144	2		clean rooms
3132	2		Lovely room
2290	0		Good towels
2655	8		comfy Bed
3980	13		amazing view
1225	16		good metro station
4167	5		friendly Staff
375	4		lovely hotel
3971	13		quite a nice walk
3316	9		Lack of air
3555	11		big room
1459	16		Fantastic Location
1002	6		comfortable breakfast
3410	3		Very comfortable quiet
513	14		free access to
4910	7		good value
1130	15		low season
4936	7		great value for money
3793	11		huge room
4314	5		very helpful Staff
2124	12		smart phone
2010	12		difficult internet
917	6		nice breakfast place
109	15		really lovely hotel
161	4		not friends family
1054	6		good quality food
2901	2		clean room
3404	3		Nice quiet room
3928	10		freezing draft
317	2		cleaned property
4741	5		helpful staff
838	6		great breakfast
1429	16		good Location
341	4		Friendly qwerky
2295	0		powerful shower
1073	6		English breakfast
1317	16		spacious location
3365	3		terrible fire alarm
244	4		neglected Entrance
3028	2		and great
2924	2		super dusty room
3707	11		a little too cramped Breakfast room
3721	11		Nice size
3206	9		very dark Basement room
4409	5		accommodating staff
1601	16		fantastic location
2288	0		No fridge
635	6		5 minutes coffee
4908	7		a little expensive drink
1397	16		relatively close to sites
20	15		excellent accommodation
1407	16		perfect location
4	4		fantastic quality boutique
4351	5		so helpful staff
3523	11		spacious room
4237	5		Helpful staff
804	6		loaded eggs
2186	12		late check out
3194	9		High quality finish
3332	9		unique wallpaper
3210	9		thread bare marks
4269	5		very friendly staff
3932	13		warm day
2695	8		comfortable Everything
3660	11		tiny room
3844	11		lot Room
129	4		Very cosy hotel
1549	16		hotel wonderful location
2942	2		Lovely comfortable room
2779	8		Strange beds
4432	5		very friendly People
3960	13		close to lots of
2040	12		nice touch
2749	8		good nights sleep
861	6		OK breakfast
459	4		modern decor
4914	7		too high room rates
1955	12		quick efficient Service
2651	8		too warm Comforter
4133	5		newly rebuilt staff
1404	16		good location
4792	5		clean staff
2359	0		clean towels
3494	3		noisy extract fan
73	15		Extremely nice hotel
3166	2		a bit Rooms
2469	8		comfortable beds
872	6		carefully thought out offerings
3799	11		comfortable room
2512	8		very comfortable beds
960	6		excellent Breakfast
3501	3		good quiet location
2555	8		a little bit bigger bed
1998	12		not clean Internet speed
2830	8		harder bed
2623	8		comfortable bed
3121	2		clean room
2038	12		Very good internet facilities
1234	16		25 mins walking Knight bridge
415	4		very odd place
1698	16		15 minutes Damrak
2367	0		huge power shower
4916	7		lower price
295	4		unique hotel
591	14		No swimming pool
3062	2		Nice room
2877	2		excellent room
479	14		very very small pool
3694	11		fantastic room
2176	12		well chosen music
2089	12		limited touches
2646	8		not confortable bed
1706	16		Close to Location
797	6		A bit crowded breakfast
816	6		uncooked food
2763	8		Broken chair
2411	0		good bathroom
1965	12		weren t great English speaking levels
4074	5		friendly manager
4367	5		truly kind staff
3193	9		no seperate doors
1213	16		easy to trams
2495	8		excellent bed
4408	5		very helpful staff
3908	1		great display of
2598	8		very generous bed
224	15		fantastic hotel
3313	9		very little natural light
3478	3		airy room
2163	12		lovely ping
3	2		Clean comfy location
1334	16		poor location
2296	0		stale Bathroom
4587	5		very friendly staff
4418	5		fabulous staff
3820	11		comfortable Room
2765	8		comfy bed
76	6		no restaurant
648	6		No coffee
4450	5		very friendly staff
4149	5		KIND STAFF
3549	11		modern room
4609	5		Friendly staff
2024	12		HUGE Easy check in
2789	8		amazingly comfortable bed
1320	16		Really easy to get to Heathrow
1846	16		right on street
2270	0		good fresh towels
590	14		no facility
3143	2		Lovely Room
3379	3		very enjoyable atmosphere
4161	5		lovely touch
866	6		Excellent coffee machine
3766	11		Small room
1541	16		amazing location
4568	5		very good Staff
4335	5		friendly staff
978	6		good breakfast
2283	0		heated bathroom
3056	2		a bit 70s room
1122	15		just hotel Indigo
6	4		Great housekeeping
3069	2		Lovely room
4596	5		clean staff
16	4		modern vibe
1416	16		easy access to the trains
716	6		Nice freshly made egg benedict
4046	17		Nice quiet area
2487	8		Very very soft bed
1546	16		walking distance restaurants
2588	8		comfy Bed
3019	2		clean Room
1110	15		Great hotel
641	6		comfortable tea
3376	3		not much privacy breakfast room
300	15		nice word
2498	8		good bed
1118	15		Very good stay
853	6		really worth breakfast
2314	0		no bathrobe
2764	8		awesome bed
2313	0		selection of big toiletries
3846	11		very spacious room
4391	5		incredibly helpful staff
4813	5		very pleasant staff
4494	5		excellent staff
632	6		very poor Breakfast
4700	5		excellent staff
4805	5		amazing Staff
4982	7		pricey breakfast
4827	5		friendly staff
4453	5		friendly staff
278	4		Beautiful property
1229	16		Easy travel to central
4413	5		accommodating staff
1043	6		undercooked breakfast
4274	5		very helpful Staff
4387	5		very reponsive staff
2192	12		cold Selection
636	6		great quality of food
1389	16		too far from city
3104	2		Clean rooms
23	15		good Everything
2674	8		very comfy bed
1648	16		clean location
4172	5		helpful Staff
262	7		Not too bad value
1631	16		5 10 minute walk from Stratford
3474	3		extremely small noise
322	14		lots of amenities
423	15		great English
604	14		NO Facilities
865	6		good breakfast
2713	8		Comfortable sitting area
1787	16		A lot of shops
528	14		very friendly pool
2676	8		very comfortable pillows
4991	7		slightly more friendly pricing
1843	16		Near tube station
1887	16		very handy location
4949	7		steep price
1001	6		Loved breakfast choice
4312	5		helpful staff
1606	16		ideal location
1888	16		comfortable location
877	6		not included breakfast
