882	6		great food
4608	5		worth service
2461	6		best soup
3505	12		recommended eggs benny
346	8		deteriorated taste
4868	1		easy price
1870	6		delicious basil
2450	6		excellent guacamole
1840	6		good fish
1477	6		good rolls
4086	13		small tables
4783	1		reasonable prices
606	6		delicious curry
1935	6		favourites pork
1569	6		perfectly fish
999	6		amazing Platter
3856	11		modern artwork
4558	5		quickly server
4658	5		impressed staff
3361	4		modest buffet
1253	6		good burger
2725	6		juicy Grilled squid
4354	5		proper chef
2036	6		delicious oysters
2955	6		excellent fish taco
2077	6		good Elvis
2117	6		good burger
3787	11		fan wing
747	6		repetitive food options
3771	11		bland décor
1340	6		light soup
4824	1		cheap Prices
3814	11		great decorations
752	6		tasty kebab
148	8		stinks portions
4150	13		spacious place
3786	11		good wings
3659	11		simple atmosphere
83	2		lovely Wine paring
249	8		hand tea room
1097	6		good egg yolk bun
1265	6		well flavors
2018	6		different Pablo cheesecakes
2372	6		buttery mini bacon
4675	5		rude tone
3004	9		disappointment menu
4911	14		worth wait
1990	6		super gook )
1740	6		amazingggg California chicken wrap
3494	12		recommends Iranian food
1471	6		cool food
173	8		rough coffee
2062	6		good Sushis
1804	6		buttery biscuits
1301	6		prefer meat
4663	5		fairly service
1171	6		good food
2297	6		good tacos
4105	13		awkward seat
970	6		great mealKorean fried chicken
390	8		much.2 pierogi 's
507	10		lacked pork
4079	13		much seating
3164	16		delicious gluten free
1386	6		blandest SAUSAGE
4429	5		attentive service
3885	11		enjoyed ambience
1382	6		mediocre brie
2620	6		better brunch
4578	5		friendly Staff
4498	5		nice waiter
1654	6		special food
4642	5		friendlier service
4857	1		higher prices
4641	5		unique service-
2231	6		great dish
4492	5		short waiter
3776	11		chill ambiance
1272	6		amazing taste
2497	6		worse club sandwich
4933	14		slow service
1844	6		crunchy bamboo shoots
4511	5		quickly served
714	6		rare beef salad
961	6		undercooked Calamari
4706	5		bad service
4433	5		friendly staff
3848	11		enjoy decor
149	8		great drinks
3314	4		big mug
710	6		limited dishes
4159	13		packed place
4610	5		appointed meal
4490	5		excellent service
3475	12		liked spice
3797	11		nice vibe
3067	9		lost reservation
3053	9		perfectly reduction
2112	6		nice amount of sauce
505	10		small chicken rec'dPrice
1406	6		good flavour
2580	6		garlicy garlic bread
1120	6		crisp sweet
2829	6		AMAZING food
4821	1		good price
2264	6		great Food
4434	5		pleasant hostess
1264	6		amazing army base soup
2102	6		flavorful potatoes
2054	6		disappointing dish
1950	6		forgot celery sticks
3347	4		reasonable portions
3576	11		small place
915	6		crispy fries
2407	6		lovely Nutella hot chocolate
1705	6		tender chicken
211	8		good drinks
2047	6		amazing food
2703	6		overrated food
1722	6		dirty dishes
414	10		free grass jelly
763	6		yummy treats
2068	6		best lamb
3357	4		showy dim sum shaped in bunnies
2057	6		overkill Ginger
3248	4		decadent portion
2144	6		dry Pad Thai
3306	4		small bowl
2970	9		cheap menu
1907	6		cheap lunch
589	6		okay cashew nut curry tofu
42	2		original shawarma
1255	6		fishy noodle soup broth
4224	5		nice service
2418	6		delicious bowls
2680	6		burnt kebab skewers
1103	6		great food
3332	4		small Teppanyaki
462	10		rubbery rice
4976	14		longer wait times
169	8		nice bowl
4096	13		cute picnic tables
3931	11		refreshing dress
3093	9		excellent menu
3359	4		lose onion
920	6		decent tacos
910	6		great food
261	8		less plasma televisions
1671	6		underwhelming tacos
2634	6		Fantastic French Toast
1763	6		enjoyed Ahi Tuna
3271	4		fancy plate
3228	4		small plates
2823	6		prominently shrimps
2600	6		good shrimp tacos
3974	11		loud sound system
1962	6		enjoyable meal
677	6		well omelette
4178	5		poorly service
4223	5		lovely Service
2041	6		tasty Seafood Pancake
1395	6		excellent brunch
411	10		thin pizza
521	10		empty lunch
2848	6		juicy Cochinita taco
2236	6		less mustard flavour
4090	13		small tables
807	6		delicious meat
1458	6		full steak
3497	12		recommend ramen
2682	6		incredible Rose sauce
3727	11		dark bar
4656	5		terrible service
3317	4		small numbers
257	8		spilled drinks
4112	13		empty tables
4340	5		friendly waiters
2992	9		double menu
366	8		overwhelming drinks
3264	4		small writing
2367	6		love fresh lobster
650	6		glad Zangi
29	2		well tapas
4082	13		nicely tables
2635	6		nice kaya
4618	5		terrible manager
4650	5		nice service
4665	5		helpful service
161	8		sweet condensed milk
4825	1		high price
4544	5		fantastic service
3092	9		unreasonable combos
1416	6		perfectly toasted
3800	11		delicious wings
2051	6		mediocre taste
2136	6		terrible appetizers
3277	4		small quality
198	8		sugary General Tso
3663	11		modern decor
3487	12		recommended counter
3818	11		remarkable ambiance
4401	5		attentive wine glasses
3760	11		famous view
1664	6		fresh scallops
543	6		special meal
1553	6		perfectly dressing
172	8		intricately drinks
4539	5		nice staff
253	8		lighter texture
880	6		tasteless california roll
3764	11		delicious atmosphere
1959	6		stood english muffin
1618	6		average cured meat plate
472	10		weak food
4270	5		fine service
1144	6		delectable cucumbers
4818	1		good prices
1631	6		microwaved served
1184	6		good food
2177	6		good Hummus
1350	6		excellent root chips
410	10		undercooked waitress
631	6		delicious chicken satay
1055	6		better plate
4014	13		comfortable bar
4592	5		lack service
4515	5		perfunctory Service
3051	9		turned menu
1988	6		full cake
1832	6		hollowed toast
4436	5		funky server
336	8		fresh guac
865	6		delicious pizza
4916	14		starving waiting
4447	5		friendly servers
1648	6		tasty salmon donburi
568	6		favourite comfort foods
1130	6		pricey food
4333	5		average staff
958	6		perfect noodles
4479	5		nice service
3991	11		packed place
1372	6		attentive sushi chef
1326	6		like habanero hot sauce
4170	13		clean place
1011	6		soft hot dog bun
1202	6		hot Green Curry
431	10		lacked soup
3215	4		fast portions
3297	4		large tiger shrimp
2409	6		top cheese game
4221	5		good waitress
433	10		creamiest homo milk
2411	6		tastier McDonalds bun
4315	5		knowledgable server
4909	14		2-hour dishes
4794	1		different price
1744	6		underwhelming food
1249	6		like fish
3096	9		lacking flavour
3459	12		recommend brunch
2659	6		exploded food
2933	6		repulsive food
702	6		best skin
