label	x	x	SentenceA	SentenceB
1	x	x	It should be a 3 star hotel The room was generally unclean the walls have stains who knows when was that carpet cleaned the last time the furniture had dust on them but the bed seemed to be clean	dust furniture
0	x	x	The room was made up each morning and we were visited at about 6 each evening to check to see if we needed any extra towels etc which was a nice touch	made up extra towels
0	x	x	Very small bath room was stuffy only one small window to let in fresh air	stuffy bath
1	x	x	great comfortable bed good breakfast plenty of public transport options nearby	plenty of public transport options
0	x	x	Good reasonable priced restaurants close by Shuttle service to airport at reasonable price is handy and efficient Good quality accomodation huge king size bed and good size rooms	handy and efficient price
0	x	x	Our only niggle is our room was a little noisy from the housekeeping staff whose storage room was very close to our bedroom	a little noisy storage room
0	x	x	The staff is most friendly and international helpful in many languages and familiar with the surroundings They always greet you with coockies and smiles The rooms are large and comfy The overall design is creative and the location is perfect outside the center and yet accessible by the near metro station and next to a lovely park	creative location
0	x	x	Brilliant hotel no problems at all friendly staff lovely food and brilliant location ten mins walk near the water to the city center lovely hotel for couples been too Amsterdam numerous times now and will always go here	lovely water
0	x	x	We walked the remainder of the way from the station to the hotel approximately10 minutes but Tram 24 stops right outside of the hotel if you didn t want to walk Rooms were very clean if a little careworn Breakfast was well laid out and varied fresh fruit yoghurt excellent selection of breads rolls and meat and cheese Cooked food also available	very clean Tram
0	x	x	The staff are so friendly and accommodating great location and beds were comfy	comfy location
1	x	x	Bed was so comfortable which was needed after long treks around the city Cocktails lunch and evening food were all divine We didn t have breakfast	so comfortable Bed
1	x	x	It was a very quirky hotel with very friendly staff The staff was extremely helpful especially Rachel and they provided great customer service	extremely helpful staff
0	x	x	Staff where very helpful room was comfortable and clean lovely comfy bed and shower was great although its said it was a little out	great bed
1	x	x	Breakfast was a disaster The service staff were inattentive rude and really not interested to make the experience an enjoyable one Not at all what one expects from a 5	disaster Breakfast
1	x	x	Good food at breakfast and dinner Executive Lounge is nice touch Nice rooms	Nice rooms
0	x	x	Excellent location superior hotel with friendly and helpful staff Room was spacious and comfortable with the added bonus of a balcony Food excellent especially the breakfast	excellent balcony
1	x	x	On my birthday I found some wine and a lovely birthday card in my room and later I was offered some yummy food	lovely birthday card
1	x	x	Friendly staff comfortable bed great location in the middle of the Dam good room service they make you feel very welcome with friendly messages chocolates on the bed and a pillow menu	friendly a pillow menu
